# SAP Notes fetched but intentionally NOT integrated (off-scope for RISE/PCE)
# Format: <id>	<reason>
2885913	OpenText Archiving and Document Access Cloud edition troubleshooting - partner add-on solution, not core PCE.
2891554	How to create a Support User in SAP Datasphere - Datasphere is a separate BTP data warehouse product, not PCE.
2902697	SAP Analytics Cloud agent FAQ - SAC is a separate BTP analytics SaaS; the on-prem Java/Tomcat/JCo agent troubleshooting is not a PCE operations concern.
2919094	IAG Privileged Access Management Reason Code maintenance view for SAP Cloud Identity Access Governance - separate GRC product, out of scope.
2924469	Concur integration FAQ scoped explicitly to S/4HANA Cloud Public Edition capabilities/limitations, not Private Cloud Edition.
2934667	BW/BW4HANA conversion tasklist (SAP_BW_SETUP_INITIAL_S4HANA in STC01) manual-activity confirmation - BW-specific, not core PCE ERP.
2938870	DP Agent (SDI) to SAP Datasphere connectivity troubleshooting - Datasphere-side analytics integration, separate product with no direct PCE ERP bearing.
2944116	IAG Privileged Access Management Reason Code enhancement (view SIAG_PAM_RCODE) for SAP Cloud Identity Access Governance - separate GRC product, out of scope.
2960755	IAG (Identity Access Governance) to Ariba V1 provisioning behavior; GRC/IAG-specific and separate from PCE core operations.
2979921	PLM Recipe Development CDS-based search fix for on-premise; niche PLM Web UI program error with no PCE bearing.
2984163	HANA DISKFULL caused by growth of GRACSODREPDATA, a GRC Access Control (separate product) table; resolution routed to GRC-SAC-ARA team.
2984757	PLM Recipe Development composite search help (/PLMB/RPR_PP_CMP_DMZ) program error fix; niche PLM Web UI with no PCE bearing.
2986915	GRC Access Control / IAG Bridge role sync - GRC Access Control is a separate product, excluded per scope.
3007649	SAP Cloud Integration for Data Services (CPI-DS) Windows agent RFC-trace config - Data Services agent tooling, excluded per scope.
3009023	SAP Analytics Cloud AI-feature supported data connections - separate SaaS analytics product, no PCE operational bearing.
3013518	CPI-DS Windows agent PSE regeneration for IBP WebRFC after patch upgrade - Data Services agent tooling, excluded per scope.
3015435	FS-PE Payment Engine 'solved by Help Portal' boilerplate - separate Financial Services product, no PCE content.
3041987	Covers self-service user administration in SAP Cloud Integration for Data Services (CI-DS), a separate data-integration product not part of S/4HANA PCE.
3058171	SAP Data Services RFC-server-to-BW gateway (sapgw00) troubleshooting; Data Services/BW product, no PCE bearing.
3072632	SDI Data Provisioning Agent IP-allowlist troubleshooting against SAP Datasphere; Datasphere/SDI-specific, not PCE core.
3092743	SDI Data Provisioning Agent connection troubleshooting to SAP IBP; IBP/SDI-specific, not PCE core.
3104053	Web Dispatcher icm/HTTP/redirect parameter tuning; Web Dispatcher is SAP-managed infra in RISE/PCE, not customer-actionable.
3106418	Generic SAP for Me portal notification setup; no PCE-technical (architecture/ops/dev) content.
3111062	CPI-DS (Cloud Integration for Data Services) IBP datastore WebSocket RFC PSE setup; Data Services + IBP niche on the skip list.
3115889	Web Dispatcher standalone vs embedded (A)SCS deployment topology and profile setup; SAP-managed infra in PCE, not customer-actionable.
3137451	Solution Manager 7.2 on-prem system-monitoring template setup for OpenText content/archive servers — niche SolMan/OpenText topic with no PCE bearing (monitoring is SAP-managed in RISE).
3137551	Cloud Identity Access Governance (IAG) bridge provisioning to Concur — Access Governance is a separate GRC product outside PCE scope.
3166596	SAP IBP / CI-DS / Data Services Agent time-series integration; Data Services and SCM/IBP niche, not S/4HANA PCE.
3169844	GRC / Cloud Identity Access Governance (IAG Bridge) with Fieldglass; separate GRC product, not PCE.
3191008	EH&S Expert/WWI gateway registration; explicitly excluded EH&S/WWI content.
3192712	EH&S WWI report generation authorization error; excluded EH&S/WWI content.
3196871	GRC Cloud IAG / Access Control repository sync; separate GRC product, not PCE.
3196950	SAP Datasphere DP Agent / SDI troubleshooting; separate analytics product, not S/4HANA PCE operations.
3200458	SAP Analytics Cloud support-user creation; separate SaaS analytics product, not PCE.
3220866	SAP Data Services + BW SNC RFC issue; Data Services is out-of-scope (separate EIM product) with no PCE bearing.
3225241	Functional logistics setup guide (Advanced Shipping and Receiving, embedded TM/EWM); application module configuration, not a PCE/RISE ops or platform topic.
3230401	PP/DS restrictions note (APO/SCM Optimizer niche), explicitly excluded from scope.
3233840	Niche embedded-TM functional integration quirk (TransportationOrderRequest_Out logical port determination); not broadly relevant to PCE practitioners.
3235517	CI-DS (Cloud Integration for data services) job scheduling for SAP IBP; separate cloud product, no S/4HANA PCE bearing.
3243527	CI-DS Data Services agent PSE/sapgenpse seclogin issue connecting to SAP IBP; Data Services/IBP specific, out-of-scope for S/4HANA PCE.
3256079	GRC Access Control installation/upgrade central KBA — separate GRC product, explicitly out of scope for PCE.
3271506	SAP Cloud Integration for Data Services (CI-DS) trace-log troubleshooting — Data Services product, out of scope.
3273716	Domain certificate renewal for SAP Cloud Integration for Data Services (CI-DS) — Data Services product, out of scope for PCE.
3274491	IBP server certificate/WebSocket RFC setup on the CI-DS Data Services Agent PSE (sapgenpse) — Data Services/IBP-specific, out of scope for core PCE.
3279454	CI-DS (Cloud Integration for Data Services) / IBP-specific datastore proxy setting; Data Services niche with no PCE bearing.
3305697	Niche release-strategy note for the industry ABAP add-on ISLS (S/4 Integration Hub for Life Sciences); add-on-specific installation/SP/upgrade info with no broad PCE relevance.
3324075	SAP Datasphere-specific DP Agent (SDI) connectivity/IP-allowlisting issue; a separate BTP analytics product concern with no direct S/4HANA PCE operational bearing.
3328968	EH&S/WWI (Microsoft Word report generation) topic, explicitly out of scope for PCE practitioners.
3331977	SAP Datasphere tenant provisioning/CPEA-vs-subscription visibility in BTP Cockpit; Datasphere is a separate analytics/DW product not core to S/4HANA PCE operations.
3348302	CI-DS (Cloud Integration for Data Services) agent ports/firewall for IBP; Data Services is on the skip list, no PCE bearing.
3358167	IBP Real-Time Integration support case-creation checklist; SCM/IBP niche support process, not core PCE.
3362505	CI-DS (Cloud Integration for Data Services) DigiCert intermediate cert update; Data Services on skip list, no PCE bearing.
3363967	IBP Real-Time Integration debugging permissions/transaction list; SCM/IBP niche support process, not core PCE.
3368765	APO/SCM PP/DS Production Planning Optimizer niche; explicitly excluded, no PCE-wide bearing.
3369133	APO/SCM PP/DS restrictions index note; niche, excluded.
3369491	IBP + Data Services Agent PSE certificate change; separate product and excluded Data Services component.
3374992	SAML SSO RelayState error scoped to SAP Business ByDesign and Cloud for Customer; separate products, not PCE.
3381068	CI-DS/Data Services Windows agent install conflict; excluded Data Services component, desktop-only.
3381145	SuccessFactors advanced encryption data-center list; separate HCM product, not PCE.
3383874	Support-responsibility split for CI-DS tenant vs on-prem DS Agent; excluded Data Services product, RISE/ECS hosting angle only incidental.
3398892	Content is entirely S/4HANA Cloud Public Edition specific (half-yearly forced upgrades, 2SL/3SL landscapes, Public-edition maintenance schedules) - a separate product with different LCM from PCE; no meaningful Private Cloud bearing.
3417201	CI-DS (Cloud Integration for Data Services) agent version recommendations fall under the Data Services family the task designates as out of scope; content is generic PAM/version-window guidance with no PCE-specific angle.
3417263	GRC Access Control / Cloud Identity Access Governance web services - separate product, explicitly excluded.
3429903	CPI-DS (Cloud Integration for Data Services) / IBP-specific PSE issue - Data Services product, excluded and no PCE bearing.
3439417	Purely IBP-side RTI communication setup (multiple planning areas/external systems) with minimal actionable S/4 or PCE-specific content.
3439762	GRC Cloud IAG Bridge / Access Control integration - separate GRC product, out of PCE scope.
3442900	IBP (Integrated Business Planning) RTI reconciliation debugging - niche SCM cloud product, not core PCE.
3446506	SAP Analytics Cloud SaaS BTP account admin - separate product managed fully by SAP, not PCE.
3450757	IBP RTI transactional-data time-zone handling - niche SCM cloud product, not core PCE.
3457158	IBP Real-Time Integration-specific SM59 RFC authorization troubleshooting (client must be 100); niche SCM/IBP integration, not core PCE.
3458830	SAP SuccessFactors Recruiting Management (separate SaaS product), not S/4HANA PCE.
3459748	SAP Cloud Identity Access Governance (IAG/GRC) cross-system rules; GRC Access Governance is a separate product excluded from scope.
3471108	SAP SuccessFactors Recruiting Management AI skills matching (separate SaaS product), not S/4HANA PCE.
3472446	Blackline third-party partner ABAP add-on install/upgrade guideline; partner-specific, not core PCE (add-ons are ECS-controlled anyway).
3481764	GRC Access Control 12.0 Rule Set Manager (GRAC_RULE_SET_MANAGER); GRC Access Control is a separate product excluded from scope.
3486683	SAP Enable Now cloud edition AI-assisted authoring activation; separate knowledge-management SaaS product, no PCE/S4HANA bearing.
3492843	Enterprise Support enablement assets for Sales/Service Cloud (CX); separate product line, unrelated to PCE.
3494922	IBP-specific admin/business user creation; SAP Integrated Business Planning is a separate SaaS product, not S/4HANA PCE.
3500902	IBP-specific test-user creation via IAS CSV import; SAP Integrated Business Planning is a separate product, not S/4HANA PCE.
3504955	IBP Real Time Integration note-implementation helper report CIF_NOTE_IMPL_SUPPORT_IBP; IBP-specific, separate product from PCE.
3505347	SAP AI Core orchestration modules token conversion rates/pricing; BTP AI Core commercial detail, not S/4HANA PCE-bearing.
3517427	SAP Cloud Integration for Data Services (CI-DS) datastore/file-path config issue; Data Services is in the excluded scope and not core PCE integration.
3523399	SAP Cloud Identity Access Governance (IAG) Privileged Access Management audit-log details; separate GRC-family product feature, niche and out of PCE core scope.
3524315	Transport management for S/4HANA Cloud Public edition via ATO in Cloud ALM; Public-edition specific (PCE uses standard CTS), not applicable to Private Cloud Edition.
3525155	S-user authorization to provision a Multi-Bank Connectivity tenant in SAP for Me; niche standalone cloud product, not core PCE.
3529512	SAP Global Trade Services (GTS) Fiori app F4403 role/target-mapping troubleshooting; GTS is a separate niche add-on, not core PCE.
3535314	SAP Datasphere tenant IP allowlist troubleshooting; Datasphere is a separate analytics/data-warehouse product, out of PCE scope.
3535497	EH&S WWI report generation troubleshooting; EH&S/WWI is explicitly excluded scope.
3539370	SAP Enable Now (training/enablement product) Neo-to-Kyma platform migration; not core S/4HANA Private Cloud Edition.
3540144	SAP Data Services RFC/SNC issue; Data Services family is out of scope for PCE.
3553336	SAP SuccessFactors Talent Intelligence Hub feature; separate HCM SaaS product, not S/4HANA PCE.
3554147	SAP Cloud Integration for Data Services (CI-DS) agent upgrade; Data Services family, niche data-integration tool out of PCE scope.
3557634	S/4HANA Cloud Public Edition-specific gen-AI Review Booklet entitlement/authorization; not Private Cloud Edition.
3559825	S/4HANA Cloud Public edition specific how-to (app S_AL0_19000079, config 101702); Public edition, no PCE bearing.
3561030	GRC Access Control / Cloud IAG Bridge job setup; GRC Access Control is a separate product excluded from scope.
3562121	GRC Access Control 12.0 Emergency Access Management (firefighter) setup; GRC AC is a separate product excluded from scope.
3566881	Joule manual setup steps specific to S/4HANA Public Cloud Edition release 2408; Public edition, not PCE.
3568084	SAP Datasphere tenant provisioning (SAP-managed to BTP customer-managed); Datasphere is a separate analytics product outside PCE scope.
3570583	Datasphere/HANA SDI Data Provisioning Agent connectivity issue, specific to SAP Datasphere (separate product); no S/4HANA PCE bearing.
3570623	SuccessFactors HCM + Data Custodian key management; separate product line, not S/4HANA PCE.
3570669	BW/4HANA BDC Cockpit downport stub; separate product, no PCE relevance.
3575316	GRC / SAP Cloud Identity Access Governance (Privileged Access Management) is a separate product, out of PCE scope.
3579544	SAP Datasphere BW Bridge connection certificate management on the Datasphere tenant; separate analytics product, not core PCE operations.
3587126	SAP Cloud Integration for Data Services (CI-DS) agent OData adapter proxy config; niche data-services tooling excluded from PCE scope.
3592957	liveCache / APO SCM (LCA03, /SAPAPO/OM03) niche; excluded APO/SCM optimizer area with no PCE bearing.
3600790	GRC Access Control / IAG (Ariba group hierarchy) - separate GRC product, out of scope per not-relevant list.
3605150	SAP Business Data Cloud / BDC Cockpit formation issue - separate analytics product (Datasphere/SAC), not PCE core.
3608514	IBP Real-Time Integration troubleshooting - IBP is a separate SCM planning product, niche integration, out of scope.
3614258	SAC Cloud Agent PAM question - SAP Analytics Cloud, separate analytics product, not PCE.
3619269	SAC Cloud Agent Tomcat install on Linux - SAP Analytics Cloud, separate analytics product, not PCE.
3624688	DS Agent upgrade for SAP Cloud Integration for Data Services - Data Services/ETL tooling, in the not-relevant category.
3626976	Adobe LiveCycle Designer download - Windows-desktop-only tool for Sales/Service Cloud output management, not PCE.
3632353	SAC/Datasphere BTP service deprecation moving to Business Data Cloud; analytics-tenant lifecycle, no PCE/S4HANA operational bearing.
3633950	GRC Access Control (separate product, explicitly out of scope) Azure AD user-detail integration.
3634808	Business Data Cloud data-blocking limitation specific to S/4HANA Public Cloud replication, not Private Cloud Edition.
3638421	BDC Cockpit provisioning/rename limitation; Business Data Cloud admin, no PCE bearing.
3644177	OpenText Core Capture (partner SaaS) hostname/data-center troubleshooting; niche partner integration, not core PCE knowledge.
3648011	IBP-internal RTI reconciliation/data-correction jobs; separate SCM planning product, not PCE core.
3652804	SAP Cloud Integration for Data Services (CI-DS) / IBP datastore PSE credential error — Data Services is excluded and this is IBP/CI-DS niche, not S/4HANA PCE.
3653192	Troubleshooting for SAP Databricks / Business Data Cloud Connect — separate analytics product (BDC/Datasphere), no PCE bearing.
3663553	SuccessFactors HCM OpenText document-management provisioning setting — separate SaaS product, not S/4HANA PCE.
3665097	EH&S/WWI report-server topic — explicitly excluded (EH&S/WWI).
3666084	SAP Cloud Identity Access Governance Privileged Access Management (GRC family) — separate product, excluded.
3684354	Rewiring Datasphere/SAC TDD tenants to Business Data Cloud — separate analytics products, no PCE relevance.
3690816	Catalog activation on BDC Datasphere tenant — separate BDC/Datasphere product, not S/4HANA PCE.
3694956	Material number range >18 chars limitation — SAP S/4HANA Cloud Public Edition (SSCUI-based), not Private Edition/PCE.
3697532	SAP Databricks provisioning delay under Business Data Cloud — separate BDC product, no PCE bearing.
3698204	About SAP Analytics Cloud / Business Data Cloud tenant provisioning and subscription formation; not S/4HANA PCE / RISE ERP operations.
3699756	Covers SAP Business Data Cloud Connect region/hyperscaler placement with Databricks/Snowflake data products; outside PCE ERP scope.
3705747	BDC Cockpit provisioning error (duplicate host name); a Business Data Cloud provisioning issue unrelated to S/4HANA PCE.
3711740	Correction for SAP Cloud Identity Access Governance Privileged Access Management (GRC add-on, separate product) handling of the gui_auto_logout parameter; not core PCE.
